cif,an,active_imobilizante_total,active_circulante_total,stocuri,creante,datorii,provizioane,capitaluri_total,patrimoniul_regiei,cifra_de_afaceri_neta,venituri_totale,cheltuieli_totate,profit_brut,pierdere_brut,profit_net,pierdere_net,salariati
17768799,2020,575,17771,764,13755,207094,0,-188748,0,0,0,8568,0,8568,0,8568,0
17779534,2020,260482,172215,138023,19231,432319,0,378,0,133215,137138,142817,0,5679,0,6928,1
17801763,2020,2732282,2577319,342486,2165811,2841455,0,2472068,0,3820866,3454733,1875677,1579056,0,1542159,0,7
17816594,2020,1260093,695573,158345,417275,488966,0,1451417,0,1532722,2076040,1698854,377186,0,359381,0,22
17832980,2020,18192,309809,214675,93806,310544,0,17457,0,86716,86716,190260,0,103544,0,104411,3
17848626,2020,218455,240660,196077,35594,496564,0,-34316,0,278796,278796,273635,5161,0,2373,0,2
17863553,2020,0,40573,2294,27029,109755,0,-69182,0,241592,251592,244530,7062,0,4546,0,1
17881282,2020,21077,245498,125998,34972,90125,0,176450,0,646795,646795,650190,0,3395,0,9873,1
17883348,2020,25808,180380,11980,58308,26467,0,179721,0,247503,247506,164289,83217,0,80865,0,2
17897270,2020,56148,286785,116976,169040,149253,0,193680,0,103236,103236,101131,2105,0,1142,0,2
17912303,2020,11089423,2199880,15506,1967686,26967718,0,-13678415,0,89271,534556,1046628,0,512072,0,516225,1
17942231,2020,112724,1121355,916324,205031,2067537,0,-837660,0,33000,39568,117591,0,78023,0,78933,1
17944615,2020,10834,1848694,74713,819593,16076,0,1843452,0,1549495,1561088,1071461,489627,0,475122,0,4
17977043,2020,122719,327327,208636,77262,362783,0,87263,0,106317,106481,121744,0,15263,0,15751,1
18012172,2020,543160,2893848,1339909,1343408,5168097,0,-1532650,0,7190805,6544790,8486189,0,1941399,0,1941399,35
18013399,2020,1089679,238315,104654,54888,171592,0,1156402,0,518405,613839,525601,88238,0,82362,0,1
18021430,2020,310717,925851,13289,253091,355013,0,1039140,0,2776374,2787798,1730983,1056815,0,1034340,0,6
18035117,2020,101810,895090,874727,14352,391098,0,605802,0,442900,678425,646421,32004,0,28127,0,6
18043934,2020,0,125849,7707,16389,49523,0,76326,0,191125,191125,211417,0,20292,0,23629,1
18048621,2020,3222538,4130889,53551,3009050,1755229,0,5640240,0,10792522,11170548,8372249,2798299,0,2436061,0,49
18051945,2020,275,98502,8430,918,5371,0,93406,0,214458,214458,149784,64674,0,62598,0,1
18055408,2020,0,131486,8781,924,2476,0,129010,0,53907,53525,43921,9604,0,8014,0,0
18060498,2020,180454,333289,6892,207756,300354,0,211215,0,970018,992549,970962,21587,0,17595,0,7
